Date,Timestamp,Adj Close,date,Negative,Nuetral,Positive,sentiment_of_the_period,sentiment_of_the_day
2021-04-06 00:30:00,1617669000000,59225.27,2021-04-06 00:30:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-06 00:35:00,1617669300000,59161.54,2021-04-06 00:35:00,0.0,1.0,2.0,Positive,Positive
2021-04-06 00:40:00,1617669600000,59190.57,2021-04-06 00:40:00,1.0,1.0,1.0,Negative,Negative
2021-04-06 00:45:00,1617669900000,59253.25,2021-04-06 00:45:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-06 00:50:00,1617670200000,59252.09,2021-04-06 00:50:00,0.0,0.0,1.0,Positive,Positive
2021-04-06 00:55:00,1617670500000,59328.4,2021-04-06 00:55:00,0.0,1.0,3.0,Positive,Positive
2021-04-06 01:00:00,1617670800000,59214.43,2021-04-06 01:00:00,0.0,5.0,1.0,Nuetral,Nuetral
2021-04-06 01:05:00,1617671100000,59275.23,2021-04-06 01:05:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-06 01:10:00,1617671400000,59193.03,2021-04-06 01:10:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-06 01:15:00,1617671700000,59119.98,2021-04-06 01:15:00,0.0,1.0,2.0,Positive,Positive
2021-04-06 01:20:00,1617672000000,58902.67,2021-04-06 01:20:00,83.0,2.0,0.0,Negative,Negative
2021-04-06 01:25:00,1617672300000,59027.33,,83.0,2.0,0.0,,Negative
2021-04-06 01:30:00,1617672600000,59049.68,2021-04-06 01:30:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-06 01:35:00,1617672900000,59060.77,2021-04-06 01:35:00,1.0,1.0,0.0,Negative,Negative
2021-04-06 01:40:00,1617673200000,59014.75,2021-04-06 01:40:00,0.0,0.0,1.0,Positive,Positive
2021-04-06 01:45:00,1617673500000,58951.76,,0.0,0.0,1.0,,Positive
2021-04-06 01:50:00,1617673800000,58862.49,2021-04-06 01:50:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-06 01:55:00,1617674100000,58807.18,2021-04-06 01:55:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-06 02:00:00,1617674400000,58700.0,2021-04-06 02:00:00,0.0,0.0,2.0,Positive,Positive
2021-04-06 02:05:00,1617674700000,58710.65,2021-04-06 02:05:00,0.0,3.0,1.0,Nuetral,Nuetral
2021-04-06 02:10:00,1617675000000,58744.57,2021-04-06 02:10:00,0.0,2.0,1.0,Nuetral,Nuetral
2021-04-06 02:15:00,1617675300000,58742.72,2021-04-06 02:15:00,0.0,3.0,1.0,Nuetral,Nuetral
2021-04-06 02:20:00,1617675600000,58726.3,2021-04-06 02:20:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-06 02:25:00,1617675900000,58750.0,2021-04-06 02:25:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-06 02:30:00,1617676200000,58818.6,2021-04-06 02:30:00,0.0,3.0,2.0,Nuetral,Nuetral
2021-04-06 02:35:00,1617676500000,58826.15,2021-04-06 02:35:00,1.0,0.0,2.0,Positive,Positive
2021-04-06 02:40:00,1617676800000,58805.61,2021-04-06 02:40:00,0.0,3.0,1.0,Nuetral,Nuetral
2021-04-06 02:45:00,1617677100000,58755.86,2021-04-06 02:45:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-06 02:50:00,1617677400000,58805.61,,0.0,1.0,1.0,,Nuetral
2021-04-06 02:55:00,1617677700000,58760.74,2021-04-06 02:55:00,1.0,0.0,0.0,Negative,Negative
2021-04-06 03:00:00,1617678000000,58797.0,2021-04-06 03:00:00,0.0,3.0,0.0,Nuetral,Nuetral
2021-04-06 03:05:00,1617678300000,58813.18,2021-04-06 03:05:00,1.0,1.0,2.0,Positive,Positive
2021-04-06 03:10:00,1617678600000,58787.38,2021-04-06 03:10:00,0.0,0.0,4.0,Positive,Positive
2021-04-06 03:15:00,1617678900000,58748.62,2021-04-06 03:15:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-06 03:20:00,1617679200000,58792.07,2021-04-06 03:20:00,0.0,0.0,1.0,Positive,Positive
2021-04-06 03:25:00,1617679500000,58928.64,2021-04-06 03:25:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-06 03:30:00,1617679800000,58881.77,2021-04-06 03:30:00,0.0,2.0,2.0,Nuetral,Nuetral
2021-04-06 03:35:00,1617680100000,58837.66,2021-04-06 03:35:00,1.0,0.0,2.0,Positive,Positive
2021-04-06 03:40:00,1617680400000,58854.62,2021-04-06 03:40:00,0.0,2.0,2.0,Nuetral,Nuetral
2021-04-06 03:45:00,1617680700000,58797.95,2021-04-06 03:45:00,1.0,0.0,1.0,Negative,Negative
2021-04-06 03:50:00,1617681000000,58746.87,2021-04-06 03:50:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-06 03:55:00,1617681300000,58642.33,2021-04-06 03:55:00,3.0,1.0,0.0,Negative,Negative
2021-04-06 04:00:00,1617681600000,58734.65,2021-04-06 04:00:00,2.0,0.0,0.0,Negative,Negative
2021-04-06 04:05:00,1617681900000,58727.65,2021-04-06 04:05:00,0.0,1.0,2.0,Positive,Positive
2021-04-06 04:10:00,1617682200000,58787.69,,0.0,1.0,2.0,,Positive
2021-04-06 04:15:00,1617682500000,58789.55,2021-04-06 04:15:00,0.0,2.0,1.0,Nuetral,Nuetral
2021-04-06 04:20:00,1617682800000,58815.26,,0.0,2.0,1.0,,Nuetral
2021-04-06 04:25:00,1617683100000,58769.23,,0.0,2.0,1.0,,Nuetral
2021-04-06 04:30:00,1617683400000,58861.21,2021-04-06 04:30:00,0.0,3.0,3.0,Nuetral,Nuetral
2021-04-06 04:35:00,1617683700000,58819.41,2021-04-06 04:35:00,0.0,1.0,2.0,Positive,Positive
2021-04-06 04:40:00,1617684000000,58776.99,2021-04-06 04:40:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-06 04:45:00,1617684300000,58761.95,2021-04-06 04:45:00,1.0,4.0,1.0,Nuetral,Nuetral
2021-04-06 04:50:00,1617684600000,58836.98,2021-04-06 04:50:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-06 04:55:00,1617684900000,58780.49,2021-04-06 04:55:00,2.0,0.0,3.0,Positive,Positive
2021-04-06 05:00:00,1617685200000,58836.02,2021-04-06 05:00:00,1.0,10.0,4.0,Nuetral,Nuetral
2021-04-06 05:05:00,1617685500000,58805.38,2021-04-06 05:05:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-06 05:10:00,1617685800000,58876.59,2021-04-06 05:10:00,1.0,0.0,2.0,Positive,Positive
2021-04-06 05:15:00,1617686100000,58792.89,2021-04-06 05:15:00,0.0,4.0,0.0,Nuetral,Nuetral
2021-04-06 05:20:00,1617686400000,58774.68,2021-04-06 05:20:00,0.0,4.0,0.0,Nuetral,Nuetral
